shot,diagnostic,signal_name,label,units,source_file,dataset_path,time_dataset_path,time_discovery_method,data_time_length_match,observations,finite_observations,nan_count,inf_count,zero_count,negative_count,minimum,maximum,mean,median,std_dev,time_found,time_observations,time_start,time_end,duration_s,median_timestep_s,min_timestep_s,max_timestep_s,duplicate_time_count,missing_pct,finite_pct,time_quality
27931,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27931 (1).nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,41762,-4581318197248.0,6202541998080.0,786946496471.981,794223247360.0,2135752514138.5183,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27932,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27932.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,21369,-27.027408599853516,746.7601928710938,45.3863398845843,-0.3050985038280487,159.23931057480902,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27932,ANB,ANB_SS_SUM_POWER,,MW,anb27932.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,10,-0.03815767168998718,1.6453944444656372,0.22012523688055113,0.0005396472406573594,0.5286588942918663,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27932,ANB,ANB_SW_SUM_POWER,,MW,anb27932.nc,anb/sw_sum_power/data,/anb/sw_sum_power/time,HDF5 dimension reference,True,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,True,2,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,100.0,OK
27932,ANB,ANB_TOT_SUM_POWER,,MW,anb27932.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,10,-0.03815767168998718,1.6453944444656372,0.22012523688055113,0.0005396472406573594,0.5286588942918663,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27932,ANU,ANU_ERRORS,errors,"error, neutr",anu27932.nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,35726,35726,0,0,218,0,0.0,5503367774208.0,3203840182000.366,3329295122432.0,1104948820481.8574,True,35726,-0.09749999642372131,1.3974999729543924,1.4949999693781137,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27932,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27932.nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,35726,35726,0,0,218,50,-50259935232.0,65407884984320.0,37937256643840.6,39433889906688.0,13194662265809.496,True,35726,-0.09749999642372131,1.3974999729543924,1.4949999693781137,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27932,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27932.nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,85975,-61379805184.0,65407884984320.0,10989339313051.55,-60839833600.0,18662741178127.074,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27932,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27932.nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,28514,-4317490708480.0,62122893508608.0,12044927882363.305,2172492316672.0,18627332428239.34,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27933,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27933.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,22958,-34.22605895996094,929.7494506835938,32.959911648797835,-0.37921757996082306,137.06385063218602,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
